"time","h"
0,14
0.104,13.974
0.208,13.948
0.312,13.922
0.416,13.896
0.52,13.87
0.624,13.844
0.728,13.818
0.832,13.792
0.936,13.766
1.04,13.74
1.144,13.714
1.248,13.688
1.352,13.662
1.456,13.636
1.56,13.61
1.664,13.584
1.768,13.558
1.872,13.532
1.976,13.506
2.08,13.48
2.184,13.454
2.288,13.428
2.392,13.402
2.496,13.376
2.6,13.35
2.704,13.324
2.808,13.298
2.912,13.272
3.016,13.246
3.12,13.22
3.224,13.194
3.328,13.168
3.432,13.142
3.536,13.116
3.64,13.09
3.744,13.064
3.848,13.038
3.952,13.012
4.056,12.986
4.16,12.96
4.264,12.934
4.368,12.908
4.472,12.882
4.576,12.856
4.68,12.83
4.784,12.804
4.888,12.778
4.992,12.752
5.096,12.726
5.2,12.7
5.304,12.674
5.408,12.648
5.512,12.622
5.616,12.596
5.72,12.57
5.824,12.544
5.928,12.518
6.032,12.492
6.136,12.466
6.24,12.44
6.344,12.414
6.448,12.388
6.552,12.362
6.656,12.336
6.76,12.31
6.864,12.284
6.968,12.258
7.072,12.232
7.176,12.206
7.28,12.18
7.384,12.154
7.488,12.128
7.592,12.102
7.696,12.076
7.8,12.05
7.904,12.024
8.008,11.998
8.112,11.972
8.216,11.946
8.32,11.92
8.424,11.894
8.528,11.868
8.632,11.842
8.736,11.816
8.84,11.79
8.944,11.764
9.048,11.738
9.152,11.712
9.256,11.686
9.36,11.66
9.464,11.634
9.568,11.608
9.672,11.582
9.776,11.556
9.88,11.53
9.984,11.504
10.088,11.478
10.192,11.452
10.296,11.426
10.4,11.4
10.504,11.374
10.608,11.348
10.712,11.322
10.816,11.296
10.92,11.27
11.024,11.244
11.128,11.218
11.232,11.192
11.336,11.166
11.44,11.14
11.544,11.114
11.648,11.088
11.752,11.062
11.856,11.036
11.96,11.01
12.064,10.984
12.168,10.958
12.272,10.932
12.376,10.906
12.48,10.88
12.584,10.854
12.688,10.828
12.792,10.802
12.896,10.776
13,10.75
13.104,10.724
13.208,10.698
13.312,10.672
13.416,10.646
13.52,10.62
13.624,10.594
13.728,10.568
13.832,10.542
13.936,10.516
14.04,10.49
14.144,10.464
14.248,10.438
14.352,10.412
14.456,10.386
14.56,10.36
14.664,10.334
14.768,10.308
14.872,10.282
14.976,10.256
15.08,10.23
15.184,10.204
15.288,10.178
15.392,10.152
15.496,10.126
15.6,10.1
15.704,10.074
15.808,10.048
15.912,10.022
16.016,9.996
16.12,9.97
16.224,9.944
16.328,9.918
16.432,9.892
16.536,9.866
16.64,9.84
16.744,9.814
16.848,9.788
16.952,9.762
17.056,9.736
17.16,9.71
17.264,9.684
17.368,9.658
17.472,9.632
17.576,9.606
17.68,9.58
17.784,9.554
17.888,9.528
17.992,9.502
18.096,9.476
18.2,9.45
18.304,9.424
18.408,9.398
18.512,9.372
18.616,9.346
18.72,9.32
18.824,9.294
18.928,9.268
19.032,9.242
19.136,9.216
19.24,9.19
19.344,9.164
19.448,9.138
19.552,9.112
19.656,9.086
19.76,9.06
19.864,9.034
19.968,9.008
20.072,8.982
20.176,8.956
20.28,8.93
20.384,8.904
20.488,8.878
20.592,8.852
20.696,8.826
20.8,8.8
20.904,8.774
21.008,8.748
21.112,8.722
21.216,8.696
21.32,8.67
21.424,8.644
21.528,8.618
21.632,8.592
21.736,8.566
21.84,8.54
21.944,8.514
22.048,8.488
22.152,8.462
22.256,8.436
22.36,8.41
22.464,8.384
22.568,8.358
22.672,8.332
22.776,8.306
22.88,8.28
22.984,8.254
23.088,8.228
23.192,8.202
23.296,8.176
23.4,8.15
23.504,8.124
23.608,8.098
23.712,8.072
23.816,8.046
23.92,8.02
24.024,7.994
24.128,7.968
24.232,7.942
24.336,7.916
24.44,7.89
24.544,7.864
24.648,7.838
24.752,7.812
24.856,7.786
24.96,7.76
25.064,7.734
25.168,7.708
